ID,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,an_000,ao_000,cn_005,cn_006,class
0,0,0,0,0,0,0,4933296,3655166,3247182,1381362,1
1,0,0,0,0,0,0,2560898,2127150,1286736,336388,1
2,0,0,0,0,0,0,2371990,2173634,1102798,196502,1
3,0,10,0,0,0,318,10184,7554,822,152,1
4,0,0,0,0,0,0,3230626,2618878,993000,64230,1
5,0,0,0,0,0,0,2283060,1892752,1182246,302306,1
6,0,0,0,0,0,0,12460,11044,422,114,1
7,0,0,0,0,0,0,5586558,4916376,3593600,756974,1
8,0,0,0,0,0,0,6289144,5590784,3471774,1999718,1
9,0,0,0,0,0,11804,5566182,4426834,341800,110462,2
10,0,0,0,0,0,0,2036770,1667600,953064,72436,1
11,0,0,0,0,0,0,3122760,2717156,1815168,665332,1
12,0,0,0,0,9744,13148,109858,108074,1024,32,1
13,0,0,0,0,0,0,7555358,6274612,4557570,1080804,1
14,0,0,0,0,0,0,1388178,1296724,476802,67208,1
15,0,0,0,0,0,0,7270,3692,660,212,1
16,0,0,0,0,0,20386,10050600,9473796,2766802,2052512,1
17,16,20,0,0,0,1144,54700,51844,5114,672,1
18,0,0,0,0,0,0,29762,24726,11646,722,1
19,0,0,0,0,0,0,86972,78750,22690,528,1
20,104,172,0,0,0,0,2166316,1929602,1027420,323420,1
21,0,0,0,0,0,0,6480,4710,1600,220,1
22,0,0,0,0,0,0,10527330,8931492,4979110,2718408,1
23,0,0,0,0,222,323436,32633282,28658284,5225236,439104,2
24,0,0,0,0,0,0,3955522,3494750,1541964,554712,1
25,0,0,0,0,0,0,1672756,1344348,1003112,129478,1
26,0,0,0,0,0,0,650322,579090,271308,36286,1
27,0,0,0,0,0,0,2909100,2487234,1119530,179916,1
28,0,0,0,0,0,0,103758,96110,5882,400,1
29,0,0,0,0,0,21886,1067748,934368,268584,137376,1
30,0,0,0,0,0,0,5039070,4424498,2405316,534406,1
31,0,0,0,0,0,0,87630,74598,32282,22014,1
32,0,0,0,0,0,0,1730606,1595018,1110448,189334,1
33,0,0,0,0,0,0,2740422,2286968,1710170,282016,1
34,0,0,0,0,0,0,28244,23684,1002,654,1
35,0,0,0,0,0,0,85522,76810,17056,12180,1
36,0,0,0,0,6,12,4264822,3699482,2128176,901152,1
