ID,X1,X2,X3,X4,X5,X6,X7,X6,Class
9,2,32,12,6,3,35,5,35,1
12,2,15,1.75,1,2,49,7,49,1
22,2,26,10.5,6,1,50,9,50,1
27,1,15,11,6,1,30,25,30,1
28,2,34,11.5,12,1,25,50,25,1
35,1,34,5,7,3,64,7,64,1
36,2,41,11,11,2,21,6,21,1
39,1,45,11.25,4,1,72,5,72,1
42,2,34,8.5,1,2,163,7,163,1
43,1,49,4.5,2,1,33,7,33,1
49,1,38,12,14,1,87,6,87,1
58,2,56,11.75,7,1,31,50,31,1
66,1,27,11.75,8,1,208,6,208,1
69,2,47,10.75,8,1,57,5,57,1
72,1,33,1.75,7,2,379,7,379,1
79,2,28,11,3,3,91,6,91,1
82,2,42,8.75,8,2,73,9,73,1
87,1,46,11.5,4,1,91,25,91,1
88,1,32,12,9,1,43,50,43,1
0,1,22,2.25,14,3,51,50,51,2
1,1,15,3,2,3,900,70,900,2
2,1,16,10.5,2,1,100,25,100,2
3,1,27,4.5,9,3,80,30,80,2
4,1,20,8,6,1,45,8,45,2
5,1,15,5,3,3,84,7,84,2
6,1,35,9.75,2,2,8,6,8,2
7,2,28,7.5,4,1,9,2,9,2
8,2,19,6,2,1,225,8,225,2
9,2,32,12,6,3,35,5,35,2
10,2,33,6.25,2,1,30,3,30,2
11,2,17,5.75,12,3,25,7,25,2
12,2,15,1.75,1,2,49,7,49,2
13,2,15,5.5,12,1,48,7,48,2
14,2,16,10,7,1,143,6,143,2
15,2,33,9.25,2,2,150,8,150,2
16,2,26,7.75,6,2,6,5,6,2
17,2,23,7.5,10,2,43,3,43,2
18,2,15,6.5,19,1,56,7,56,2
19,2,26,6.75,2,1,6,6,6,2
20,1,22,1.25,3,3,47,3,47,2
21,2,19,2.25,2,1,60,7,60,2
22,2,26,10.5,6,1,50,9,50,2
23,1,25,5.75,2,1,300,7,300,2
24,2,17,11.25,4,3,70,7,70,2
25,1,27,5,2,1,20,5,20,2
26,2,24,4.75,10,3,30,45,30,2
27,1,15,11,6,1,30,25,30,2
28,2,34,11.5,12,1,25,50,25,2
29,2,20,7.75,18,3,45,2,45,2
30,2,38,2.5,1,3,43,50,43,2
31,1,23,3,2,3,87,70,87,2
32,2,48,10.25,7,1,50,25,50,2
33,2,24,4.25,1,1,174,30,174,2
34,2,33,8,3,1,502,8,502,2
35,1,34,5,7,3,64,7,64,2
36,2,41,11,11,2,21,6,21,2
37,1,29,8.75,3,1,504,2,504,2
38,2,22,8.5,5,1,99,8,99,2
39,1,45,11.25,4,1,72,5,72,2
40,2,22,8.25,9,1,352,3,352,2
41,1,35,8.75,10,2,69,7,69,2
42,2,34,8.5,1,2,163,7,163,2
43,1,49,4.5,2,1,33,7,33,2
44,2,19,11,5,2,51,6,51,2
45,1,21,8,3,1,17,8,17,2
46,1,26,7.75,13,2,13,5,13,2
47,1,51,8.75,2,2,57,3,57,2
48,1,19,7.75,6,1,32,7,32,2
49,1,38,12,14,1,87,6,87,2
50,2,36,1.75,10,3,45,3,45,2
51,2,52,2.25,5,1,63,7,63,2
52,2,49,9,4,2,14,9,14,2
53,1,23,5.75,2,1,43,7,43,2
54,1,45,10,8,1,58,7,58,2
55,1,54,7.5,13,3,43,5,43,2
56,2,47,5.25,3,3,23,45,23,2
57,2,53,10,1,2,30,25,30,2
58,2,56,11.75,7,1,31,50,31,2
59,1,27,11.25,3,2,37,2,37,2
60,2,47,3.75,14,2,67,50,67,2
61,2,19,2.25,8,2,42,70,42,2
62,2,33,8,5,1,63,25,63,2
63,2,15,4,12,1,72,30,72,2
64,1,17,8.5,2,1,44,8,44,2
65,1,29,5,12,3,75,7,75,2
66,1,27,11.75,8,1,208,6,208,2
67,2,51,6,6,1,80,2,80,2
68,1,35,6.75,4,3,41,8,41,2
69,2,47,10.75,8,1,57,5,57,2
70,1,43,8,1,1,59,3,59,2
71,1,15,4,4,3,25,7,25,2
72,1,33,1.75,7,2,379,7,379,2
73,2,51,4,1,1,65,7,65,2
74,1,45,6.5,9,2,49,6,49,2
75,2,47,9.25,13,2,367,8,367,2
76,1,18,11.75,5,2,13,5,13,2
77,2,46,7.75,8,1,40,3,40,2
78,1,43,11,7,1,507,7,507,2
79,2,28,11,3,3,91,6,91,2
80,1,30,1,2,1,88,3,88,2
81,2,16,2,11,1,47,7,47,2
82,2,42,8.75,8,2,73,9,73,2
83,2,15,8,1,1,55,7,55,2
84,2,53,7.25,6,1,81,7,81,2
85,1,40,5.5,8,3,69,5,69,2
86,1,38,7.5,8,2,56,45,56,2
87,1,46,11.5,4,1,91,25,91,2
88,1,32,12,9,1,43,50,43,2
89,2,23,6.75,6,1,19,2,19,2
