ID,X1,X6,X6,X7,X2,X3,X4,X5,Class
9,2,35,35,5,32,12,6,3,1
12,2,49,49,7,15,1.75,1,2,1
22,2,50,50,9,26,10.5,6,1,1
27,1,30,30,25,15,11,6,1,1
28,2,25,25,50,34,11.5,12,1,1
35,1,64,64,7,34,5,7,3,1
36,2,21,21,6,41,11,11,2,1
39,1,72,72,5,45,11.25,4,1,1
42,2,163,163,7,34,8.5,1,2,1
43,1,33,33,7,49,4.5,2,1,1
49,1,87,87,6,38,12,14,1,1
58,2,31,31,50,56,11.75,7,1,1
66,1,208,208,6,27,11.75,8,1,1
69,2,57,57,5,47,10.75,8,1,1
72,1,379,379,7,33,1.75,7,2,1
79,2,91,91,6,28,11,3,3,1
82,2,73,73,9,42,8.75,8,2,1
87,1,91,91,25,46,11.5,4,1,1
88,1,43,43,50,32,12,9,1,1
0,1,51,51,50,22,2.25,14,3,2
1,1,900,900,70,15,3,2,3,2
2,1,100,100,25,16,10.5,2,1,2
3,1,80,80,30,27,4.5,9,3,2
4,1,45,45,8,20,8,6,1,2
5,1,84,84,7,15,5,3,3,2
6,1,8,8,6,35,9.75,2,2,2
7,2,9,9,2,28,7.5,4,1,2
8,2,225,225,8,19,6,2,1,2
9,2,35,35,5,32,12,6,3,2
10,2,30,30,3,33,6.25,2,1,2
11,2,25,25,7,17,5.75,12,3,2
12,2,49,49,7,15,1.75,1,2,2
13,2,48,48,7,15,5.5,12,1,2
14,2,143,143,6,16,10,7,1,2
15,2,150,150,8,33,9.25,2,2,2
16,2,6,6,5,26,7.75,6,2,2
17,2,43,43,3,23,7.5,10,2,2
18,2,56,56,7,15,6.5,19,1,2
19,2,6,6,6,26,6.75,2,1,2
20,1,47,47,3,22,1.25,3,3,2
21,2,60,60,7,19,2.25,2,1,2
22,2,50,50,9,26,10.5,6,1,2
23,1,300,300,7,25,5.75,2,1,2
24,2,70,70,7,17,11.25,4,3,2
25,1,20,20,5,27,5,2,1,2
26,2,30,30,45,24,4.75,10,3,2
27,1,30,30,25,15,11,6,1,2
28,2,25,25,50,34,11.5,12,1,2
29,2,45,45,2,20,7.75,18,3,2
30,2,43,43,50,38,2.5,1,3,2
31,1,87,87,70,23,3,2,3,2
32,2,50,50,25,48,10.25,7,1,2
33,2,174,174,30,24,4.25,1,1,2
34,2,502,502,8,33,8,3,1,2
35,1,64,64,7,34,5,7,3,2
36,2,21,21,6,41,11,11,2,2
37,1,504,504,2,29,8.75,3,1,2
38,2,99,99,8,22,8.5,5,1,2
39,1,72,72,5,45,11.25,4,1,2
40,2,352,352,3,22,8.25,9,1,2
41,1,69,69,7,35,8.75,10,2,2
42,2,163,163,7,34,8.5,1,2,2
43,1,33,33,7,49,4.5,2,1,2
44,2,51,51,6,19,11,5,2,2
45,1,17,17,8,21,8,3,1,2
46,1,13,13,5,26,7.75,13,2,2
47,1,57,57,3,51,8.75,2,2,2
48,1,32,32,7,19,7.75,6,1,2
49,1,87,87,6,38,12,14,1,2
50,2,45,45,3,36,1.75,10,3,2
51,2,63,63,7,52,2.25,5,1,2
52,2,14,14,9,49,9,4,2,2
53,1,43,43,7,23,5.75,2,1,2
54,1,58,58,7,45,10,8,1,2
55,1,43,43,5,54,7.5,13,3,2
56,2,23,23,45,47,5.25,3,3,2
57,2,30,30,25,53,10,1,2,2
58,2,31,31,50,56,11.75,7,1,2
59,1,37,37,2,27,11.25,3,2,2
60,2,67,67,50,47,3.75,14,2,2
61,2,42,42,70,19,2.25,8,2,2
62,2,63,63,25,33,8,5,1,2
63,2,72,72,30,15,4,12,1,2
64,1,44,44,8,17,8.5,2,1,2
65,1,75,75,7,29,5,12,3,2
66,1,208,208,6,27,11.75,8,1,2
67,2,80,80,2,51,6,6,1,2
68,1,41,41,8,35,6.75,4,3,2
69,2,57,57,5,47,10.75,8,1,2
70,1,59,59,3,43,8,1,1,2
71,1,25,25,7,15,4,4,3,2
72,1,379,379,7,33,1.75,7,2,2
73,2,65,65,7,51,4,1,1,2
74,1,49,49,6,45,6.5,9,2,2
75,2,367,367,8,47,9.25,13,2,2
76,1,13,13,5,18,11.75,5,2,2
77,2,40,40,3,46,7.75,8,1,2
78,1,507,507,7,43,11,7,1,2
79,2,91,91,6,28,11,3,3,2
80,1,88,88,3,30,1,2,1,2
81,2,47,47,7,16,2,11,1,2
82,2,73,73,9,42,8.75,8,2,2
83,2,55,55,7,15,8,1,1,2
84,2,81,81,7,53,7.25,6,1,2
85,1,69,69,5,40,5.5,8,3,2
86,1,56,56,45,38,7.5,8,2,2
87,1,91,91,25,46,11.5,4,1,2
88,1,43,43,50,32,12,9,1,2
89,2,19,19,2,23,6.75,6,1,2
