0,SW,PL,PW,SL,Class
51,2.3,3.3,1,5,2
52,2.4,3.3,1,4.9,2
53,2,3.5,1,5,2
54,2.6,3.5,1,5.7,2
55,2.4,3.7,1,5.5,2
56,2.2,4,1,6,2
57,2.7,4.1,1,5.8,2
58,2.5,3,1.1,5.1,2
59,2.4,3.8,1.1,5.5,2
60,2.5,3.9,1.1,5.6,2
61,2.7,3.9,1.2,5.8,2
62,2.6,4,1.2,5.8,2
63,3,4.2,1.2,5.7,2
64,2.6,4.4,1.2,5.5,2
65,2.8,4.7,1.2,6.1,2
66,2.9,3.6,1.3,5.6,2
67,2.3,4,1.3,5.5,2
68,2.5,4,1.3,5.5,2
69,2.8,4,1.3,6.1,2
70,2.8,4.1,1.3,5.7,2
71,3,4.1,1.3,5.6,2
72,2.7,4.2,1.3,5.6,2
73,2.9,4.2,1.3,5.7,2
74,2.9,4.3,1.3,6.2,2
75,2.9,4.3,1.3,6.4,2
76,2.3,4.4,1.3,6.3,2
77,2.8,4.5,1.3,5.7,2
78,2.9,4.6,1.3,6.6,2
79,2.7,3.9,1.4,5.2,2
80,3,4.4,1.4,6.6,2
81,3.1,4.4,1.4,6.7,2
82,3,4.6,1.4,6.1,2
83,2.9,4.7,1.4,6.1,2
84,3.2,4.7,1.4,7,2
85,2.8,4.8,1.4,6.8,2
86,3,4.2,1.5,5.9,2
87,2.2,4.5,1.5,6.2,2
88,2.9,4.5,1.5,6,2
89,3,4.5,1.5,5.4,2
90,3,4.5,1.5,5.6,2
91,3.2,4.5,1.5,6.4,2
92,2.8,4.6,1.5,6.5,2
93,3.1,4.7,1.5,6.7,2
94,2.5,4.9,1.5,6.3,2
95,3.1,4.9,1.5,6.9,2
96,3.4,4.5,1.6,6,2
97,3.3,4.7,1.6,6.3,2
98,2.7,5.1,1.6,6,2
99,3,5,1.7,6.7,2
100,3.2,4.8,1.8,5.9,2
101,2.6,5.6,1.4,6.1,3
102,2.2,5,1.5,6,3
103,2.8,5.1,1.5,6.3,3
104,3,5.8,1.6,7.2,3
105,2.5,4.5,1.7,4.9,3
106,2.8,4.8,1.8,6.2,3
107,3,4.8,1.8,6,3
108,2.7,4.9,1.8,6.3,3
109,3,4.9,1.8,6.1,3
110,3,5.1,1.8,5.9,3
111,3,5.5,1.8,6.5,3
112,3.1,5.5,1.8,6.4,3
113,2.9,5.6,1.8,6.3,3
114,2.5,5.8,1.8,6.7,3
115,3.2,6,1.8,7.2,3
116,2.9,6.3,1.8,7.3,3
117,2.5,5,1.9,6.3,3
118,2.7,5.1,1.9,5.8,3
119,2.7,5.1,1.9,5.8,3
120,2.7,5.3,1.9,6.4,3
121,2.8,6.1,1.9,7.4,3
122,2.8,4.9,2,5.6,3
123,2.5,5,2,5.7,3
124,3.2,5.1,2,6.5,3
125,3,5.2,2,6.5,3
126,3.8,6.4,2,7.9,3
127,2.8,6.7,2,7.7,3
128,3.1,5.4,2.1,6.9,3
129,3,5.5,2.1,6.8,3
130,2.8,5.6,2.1,6.4,3
131,3.3,5.7,2.1,6.7,3
132,3,5.9,2.1,7.1,3
133,3,6.6,2.1,7.6,3
134,2.8,5.6,2.2,6.4,3
135,3,5.8,2.2,6.5,3
136,3.8,6.7,2.2,7.7,3
137,3.1,5.1,2.3,6.9,3
138,3,5.2,2.3,6.7,3
139,3.2,5.3,2.3,6.4,3
140,3.4,5.4,2.3,6.2,3
141,3.2,5.7,2.3,6.9,3
142,3.2,5.9,2.3,6.8,3
143,3,6.1,2.3,7.7,3
144,2.6,6.9,2.3,7.7,3
145,2.8,5.1,2.4,5.8,3
146,3.1,5.6,2.4,6.7,3
147,3.4,5.6,2.4,6.3,3
148,3.3,5.7,2.5,6.7,3
149,3.3,6,2.5,6.3,3
150,3.6,6.1,2.5,7.2,3
