ID,X1,X3,X2,X4,X5,X4,X7,X6,Class
0,15.26,0.871,14.84,5.763,3.312,5.763,5.22,2.221,1
1,14.88,0.8811,14.57,5.554,3.333,5.554,4.956,1.018,1
2,14.29,0.905,14.09,5.291,3.337,5.291,4.825,2.699,1
3,13.84,0.8955,13.94,5.324,3.379,5.324,4.805,2.259,1
4,16.14,0.9034,14.99,5.658,3.562,5.658,5.175,1.355,1
5,14.38,0.8951,14.21,5.386,3.312,5.386,4.956,2.462,1
6,14.69,0.8799,14.49,5.563,3.259,5.563,5.219,3.586,1
7,14.11,0.8911,14.1,5.42,3.302,5.42,5,2.7,1
8,16.63,0.8747,15.46,6.053,3.465,6.053,5.877,2.04,1
9,16.44,0.888,15.25,5.884,3.505,5.884,5.533,1.969,1
10,15.26,0.8696,14.85,5.714,3.242,5.714,5.314,4.543,1
11,14.03,0.8796,14.16,5.438,3.201,5.438,5.001,1.717,1
12,13.89,0.888,14.02,5.439,3.199,5.439,4.738,3.986,1
13,13.78,0.8759,14.06,5.479,3.156,5.479,4.872,3.136,1
14,13.74,0.8744,14.05,5.482,3.114,5.482,4.825,2.932,1
15,14.59,0.8993,14.28,5.351,3.333,5.351,4.781,4.185,1
16,13.99,0.9183,13.83,5.119,3.383,5.119,4.781,5.234,1
17,15.69,0.9058,14.75,5.527,3.514,5.527,5.046,1.599,1
18,14.7,0.9153,14.21,5.205,3.466,5.205,4.649,1.767,1
19,12.72,0.8686,13.57,5.226,3.049,5.226,4.914,4.102,1
20,14.16,0.8584,14.4,5.658,3.129,5.658,5.176,3.072,1
21,14.11,0.8722,14.26,5.52,3.168,5.52,5.219,2.688,1
22,15.88,0.8988,14.9,5.618,3.507,5.618,5.091,0.7651,1
23,12.08,0.8664,13.23,5.099,2.936,5.099,4.961,1.415,1
24,15.01,0.8657,14.76,5.789,3.245,5.789,5.001,1.791,1
25,16.19,0.8849,15.16,5.833,3.421,5.833,5.307,0.903,1
26,13.02,0.8641,13.76,5.395,3.026,5.395,4.825,3.373,1
27,12.74,0.8564,13.67,5.395,2.956,5.395,4.869,2.504,1
28,14.11,0.882,14.18,5.541,3.221,5.541,5.038,2.754,1
29,13.45,0.8604,14.02,5.516,3.065,5.516,5.097,3.531,1
30,13.16,0.8662,13.82,5.454,2.975,5.454,5.056,0.8551,1
31,15.49,0.8724,14.94,5.757,3.371,5.757,5.228,3.412,1
32,14.09,0.8529,14.41,5.717,3.186,5.717,5.299,3.92,1
33,13.94,0.8728,14.17,5.585,3.15,5.585,5.012,2.124,1
34,15.05,0.8779,14.68,5.712,3.328,5.712,5.36,2.129,1
35,16.12,0.9,15,5.709,3.485,5.709,5.443,2.27,1
36,16.2,0.8734,15.27,5.826,3.464,5.826,5.527,2.823,1
37,17.08,0.9079,15.38,5.832,3.683,5.832,5.484,2.956,1
38,14.8,0.8823,14.52,5.656,3.288,5.656,5.309,3.112,1
39,14.28,0.8944,14.17,5.397,3.298,5.397,5.001,6.685,1
40,13.54,0.8871,13.85,5.348,3.156,5.348,5.178,2.587,1
41,13.5,0.8852,13.85,5.351,3.158,5.351,5.176,2.249,1
42,13.16,0.9009,13.55,5.138,3.201,5.138,4.783,2.461,1
43,15.5,0.882,14.86,5.877,3.396,5.877,5.528,4.711,1
44,15.11,0.8986,14.54,5.579,3.462,5.579,5.18,3.128,1
45,13.8,0.8794,14.04,5.376,3.155,5.376,4.961,1.56,1
46,15.36,0.8861,14.76,5.701,3.393,5.701,5.132,1.367,1
47,14.99,0.8883,14.56,5.57,3.377,5.57,5.175,2.958,1
48,14.79,0.8819,14.52,5.545,3.291,5.545,5.111,2.704,1
49,14.86,0.8676,14.67,5.678,3.258,5.678,5.351,2.129,1
50,14.43,0.8751,14.4,5.585,3.272,5.585,5.144,3.975,1
51,15.78,0.8923,14.91,5.674,3.434,5.674,5.136,5.593,1
52,14.49,0.8538,14.61,5.715,3.113,5.715,5.396,4.116,1
53,14.33,0.8831,14.28,5.504,3.199,5.504,5.224,3.328,1
54,14.52,0.8557,14.6,5.741,3.113,5.741,5.487,1.481,1
55,15.03,0.8658,14.77,5.702,3.212,5.702,5.439,1.933,1
56,14.46,0.8818,14.35,5.388,3.377,5.388,5.044,2.802,1
57,14.92,0.9006,14.43,5.384,3.412,5.384,5.088,1.142,1
58,15.38,0.8857,14.77,5.662,3.419,5.662,5.222,1.999,1
59,12.11,0.8392,13.47,5.159,3.032,5.159,4.519,1.502,1
60,11.42,0.8683,12.86,5.008,2.85,5.008,4.607,2.7,1
61,11.23,0.884,12.63,4.902,2.879,4.902,4.703,2.269,1
62,12.36,0.8923,13.19,5.076,3.042,5.076,4.605,3.22,1
63,13.22,0.868,13.84,5.395,3.07,5.395,5.088,4.157,1
64,12.78,0.8716,13.57,5.262,3.026,5.262,4.782,1.176,1
65,12.88,0.8879,13.5,5.139,3.119,5.139,4.607,2.352,1
66,14.34,0.8726,14.37,5.63,3.19,5.63,5.15,1.313,1
67,14.01,0.8625,14.29,5.609,3.158,5.609,5.132,2.217,1
68,14.37,0.8726,14.39,5.569,3.153,5.569,5.3,1.464,1
69,12.73,0.8458,13.75,5.412,2.882,5.412,5.067,3.533,1
70,17.63,0.8673,15.98,6.191,3.561,6.191,6.06,4.076,2
71,16.84,0.8623,15.67,5.998,3.484,5.998,5.877,4.675,2
72,17.26,0.8763,15.73,5.978,3.594,5.978,5.791,4.539,2
73,19.11,0.9081,16.26,6.154,3.93,6.154,6.079,2.936,2
74,16.82,0.8786,15.51,6.017,3.486,6.017,5.841,4.004,2
75,16.77,0.8638,15.62,5.927,3.438,5.927,5.795,4.92,2
76,17.32,0.8599,15.91,6.064,3.403,6.064,5.922,3.824,2
77,20.71,0.8763,17.23,6.579,3.814,6.579,6.451,4.451,2
78,18.94,0.875,16.49,6.445,3.639,6.445,6.362,5.064,2
79,17.12,0.8892,15.55,5.85,3.566,5.85,5.746,2.858,2
80,16.53,0.8823,15.34,5.875,3.467,5.875,5.88,5.532,2
81,18.72,0.8977,16.19,6.006,3.857,6.006,5.879,5.324,2
82,20.2,0.8894,16.89,6.285,3.864,6.285,6.187,5.173,2
83,19.57,0.8779,16.74,6.384,3.772,6.384,6.273,1.472,2
84,19.51,0.878,16.71,6.366,3.801,6.366,6.185,2.962,2
85,18.27,0.887,16.09,6.173,3.651,6.173,6.197,2.443,2
86,18.88,0.8969,16.26,6.084,3.764,6.084,6.109,1.649,2
87,18.98,0.859,16.66,6.549,3.67,6.549,6.498,3.691,2
88,21.18,0.8989,17.21,6.573,4.033,6.573,6.231,5.78,2
89,20.88,0.9031,17.05,6.45,4.032,6.45,6.321,5.016,2
90,20.1,0.8746,16.99,6.581,3.785,6.581,6.449,1.955,2
91,18.76,0.8984,16.2,6.172,3.796,6.172,6.053,3.12,2
92,18.81,0.8906,16.29,6.272,3.693,6.272,6.053,3.237,2
93,18.59,0.9066,16.05,6.037,3.86,6.037,5.877,6.001,2
94,18.36,0.8452,16.52,6.666,3.485,6.666,6.448,4.933,2
95,16.87,0.8648,15.65,6.139,3.463,6.139,5.967,3.696,2
96,19.31,0.8815,16.59,6.341,3.81,6.341,6.238,3.477,2
97,18.98,0.8687,16.57,6.449,3.552,6.449,6.453,2.144,2
98,18.17,0.8637,16.26,6.271,3.512,6.271,6.273,2.853,2
99,18.72,0.881,16.34,6.219,3.684,6.219,6.097,2.188,2
100,16.41,0.8866,15.25,5.718,3.525,5.718,5.618,4.217,2
101,17.99,0.8992,15.86,5.89,3.694,5.89,5.837,2.068,2
102,19.46,0.8985,16.5,6.113,3.892,6.113,6.009,4.308,2
103,19.18,0.8717,16.63,6.369,3.681,6.369,6.229,3.357,2
104,18.95,0.8829,16.42,6.248,3.755,6.248,6.148,3.368,2
105,18.83,0.8917,16.29,6.037,3.786,6.037,5.879,2.553,2
106,18.85,0.9056,16.17,6.152,3.806,6.152,6.2,2.843,2
107,17.63,0.88,15.86,6.033,3.573,6.033,5.929,3.747,2
108,19.94,0.8752,16.92,6.675,3.763,6.675,6.55,3.252,2
109,18.55,0.8865,16.22,6.153,3.674,6.153,5.894,1.738,2
110,18.45,0.8921,16.12,6.107,3.769,6.107,5.794,2.235,2
111,19.38,0.8716,16.72,6.303,3.791,6.303,5.965,3.678,2
112,19.13,0.9035,16.31,6.183,3.902,6.183,5.924,2.109,2
113,19.14,0.8722,16.61,6.259,3.737,6.259,6.053,6.682,2
114,20.97,0.8859,17.25,6.563,3.991,6.563,6.316,4.677,2
115,19.06,0.8854,16.45,6.416,3.719,6.416,6.163,2.248,2
116,18.96,0.9077,16.2,6.051,3.897,6.051,5.75,4.334,2
117,19.15,0.889,16.45,6.245,3.815,6.245,6.185,3.084,2
118,18.89,0.9008,16.23,6.227,3.769,6.227,5.966,3.639,2
119,20.03,0.8811,16.9,6.493,3.857,6.493,6.32,3.063,2
120,20.24,0.8897,16.91,6.315,3.962,6.315,6.188,5.901,2
121,18.14,0.8772,16.12,6.059,3.563,6.059,6.011,3.619,2
122,16.17,0.8588,15.38,5.762,3.387,5.762,5.703,4.286,2
123,18.43,0.9077,15.97,5.98,3.771,5.98,5.905,2.984,2
124,15.99,0.9064,14.89,5.363,3.582,5.363,5.144,3.336,2
125,18.75,0.8999,16.18,6.111,3.869,6.111,5.992,4.188,2
126,18.65,0.8698,16.41,6.285,3.594,6.285,6.102,4.391,2
127,17.98,0.8993,15.85,5.979,3.687,5.979,5.919,2.257,2
128,20.16,0.8735,17.03,6.513,3.773,6.513,6.185,1.91,2
129,17.55,0.8991,15.66,5.791,3.69,5.791,5.661,5.366,2
130,18.3,0.9108,15.89,5.979,3.755,5.979,5.962,2.837,2
131,18.94,0.8942,16.32,6.144,3.825,6.144,5.949,2.908,2
132,15.38,0.8706,14.9,5.884,3.268,5.884,5.795,4.462,2
133,16.16,0.8644,15.33,5.845,3.395,5.845,5.795,4.266,2
134,15.56,0.8823,14.89,5.776,3.408,5.776,5.847,4.972,2
135,15.38,0.899,14.66,5.477,3.465,5.477,5.439,3.6,2
136,17.36,0.8785,15.76,6.145,3.574,6.145,5.971,3.526,2
137,15.57,0.8527,15.15,5.92,3.231,5.92,5.879,2.64,2
138,15.6,0.858,15.11,5.832,3.286,5.832,5.752,2.725,2
139,16.23,0.885,15.18,5.872,3.472,5.872,5.922,3.769,2
